;;;TRATO POR CURRAL;;;;;;;;;;;
Id. Carregamento;Curral;Lote;;Trato;Peso Abastecido (kg);Dieta;;Data;Hora;Vagão;Tratador;Carregamento;%MS Dieta Real;%Ndt Dieta Real
166015520000000;37;37-G2-25;;1;85,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;06:57:01;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
166015520000000;46;46-G3-25;;1;280,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;06:55:47;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
166015520000000;47;47-G1-25;;1;205,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;06:55:32;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
166015520000000;48;48-G1-25;;1;30,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;06:55:15;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
166015520000000;52;52-G2-25;;1;280,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;06:54:37;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
166015520000000;53;43-G1-25;;1;230,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;06:54:24;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
166015520000000;55;44-G2-25;;1;315,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;06:44:36;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
166015520000000;56;56-G2-25;;1;335,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;06:44:15;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
166015520000000;57;57-G2-25;;1;65,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;06:43:33;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
166015520000000;63;45-G2-25;;1;365,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;06:50:53;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
166015520000000;64;46-G2-25;;1;325,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;06:51:10;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
166015520000000;65;65-G1-25;;1;285,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;06:51:26;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
