;;ITENS DE TRATO;;;;;;;;;;
Data de Inclusão;Id. Carregamento;;Hora;Dieta;;Carregamento;Ingrediente;Quantidade MN (kg);Motorista;Vagão;%MS Dieta Real;%NDT Dieta Real
14/09/2025;166056730000000;;08:20:29;RECRIA FEMEA 08/08/2025;;3;CAPIASU;5632,000000000;RUBEN VIERA;BAHMAN;35,01%;63,89%
14/09/2025;166056860000000;;08:49:49;CRECIMIENTO SORGO.19/08/2025;;4;Sorgo, grão úmido silagem;1298,000000000;RUBEN VIERA;BAHMAN;38,70%;77,07%
14/09/2025;166056860000000;;08:53:33;CRECIMIENTO SORGO.19/08/2025;;4;MAIZ HUMIDO;1526,000000000;RUBEN VIERA;BAHMAN;38,70%;77,07%
14/09/2025;166056370000000;;07:21:41;CRECIMIENTO SORGO.19/08/2025;;2;UREIA PECUARIA;39,520000000;RUBEN VIERA;BAHMAN;38,69%;77,06%
14/09/2025;166056370000000;;07:21:41;CRECIMIENTO SORGO.19/08/2025;;2;CALCAREO;28,432000000;RUBEN VIERA;BAHMAN;38,69%;77,06%
14/09/2025;166056370000000;;07:21:41;CRECIMIENTO SORGO.19/08/2025;;2;NUCLEO CONFINAMIENTO;31,272000000;RUBEN VIERA;BAHMAN;38,69%;77,06%
14/09/2025;166056370000000;;07:30:36;CRECIMIENTO SORGO.19/08/2025;;2;Sorgo, silagem;4763,000000000;RUBEN VIERA;BAHMAN;38,69%;77,06%
14/09/2025;166056730000000;;08:07:47;RECRIA FEMEA 08/08/2025;;3;MAIZ HUMIDO;2074,000000000;RUBEN VIERA;BAHMAN;35,01%;63,89%
14/09/2025;166056730000000;;08:11:09;RECRIA FEMEA 08/08/2025;;3;FARELO DE SOJA;208,632000000;RUBEN VIERA;BAHMAN;35,01%;63,89%
14/09/2025;166056130000000;;06:16:51;TERMINACION SORGO-19/08/2025;;1;NUCLEO CONFINAMIENTO;33,288000000;RUBEN VIERA;BAHMAN;41,23%;78,61%
14/09/2025;166056130000000;;06:16:51;TERMINACION SORGO-19/08/2025;;1;CALCAREO;30,264000000;RUBEN VIERA;BAHMAN;41,23%;78,61%
14/09/2025;166056130000000;;06:25:09;TERMINACION SORGO-19/08/2025;;1;Sorgo, silagem;4230,000000000;RUBEN VIERA;BAHMAN;41,23%;78,61%
14/09/2025;166056370000000;;07:16:58;CRECIMIENTO SORGO.19/08/2025;;2;Sorgo, grão úmido silagem;1298,000000000;RUBEN VIERA;BAHMAN;38,69%;77,06%
14/09/2025;166056370000000;;07:18:58;CRECIMIENTO SORGO.19/08/2025;;2;MAIZ HUMIDO;1521,000000000;RUBEN VIERA;BAHMAN;38,69%;77,06%
14/09/2025;166056370000000;;07:21:41;CRECIMIENTO SORGO.19/08/2025;;2;FARELO DE SOJA;313,008000000;RUBEN VIERA;BAHMAN;38,69%;77,06%
13/09/2025;166056010000000;;17:01:12;RECRIA FEMEA 08/08/2025;;12;CALCAREO;14,454960000;RUBEN VIERA;BAHMAN;35,03%;63,93%
13/09/2025;166056010000000;;17:08:33;RECRIA FEMEA 08/08/2025;;12;CAPIASU;3464,000000000;RUBEN VIERA;BAHMAN;35,03%;63,93%
14/09/2025;166056130000000;;06:08:46;TERMINACION SORGO-19/08/2025;;1;Sorgo, grão úmido silagem;1610,000000000;RUBEN VIERA;BAHMAN;41,23%;78,61%
14/09/2025;166056130000000;;06:12:08;TERMINACION SORGO-19/08/2025;;1;MAIZ HUMIDO;1764,000000000;RUBEN VIERA;BAHMAN;41,23%;78,61%
14/09/2025;166056130000000;;06:16:51;TERMINACION SORGO-19/08/2025;;1;FARELO DE SOJA;300,264000000;RUBEN VIERA;BAHMAN;41,23%;78,61%
14/09/2025;166056130000000;;06:16:51;TERMINACION SORGO-19/08/2025;;1;UREIA PECUARIA;42,072000000;RUBEN VIERA;BAHMAN;41,23%;78,61%
13/09/2025;166055810000000;;16:12:31;TERMINACION SORGO-19/08/2025;;11;CALCAREO;26,435604000;RUBEN VIERA;BAHMAN;41,19%;78,58%
13/09/2025;166055810000000;;16:20:32;TERMINACION SORGO-19/08/2025;;11;Sorgo, silagem;3695,000000000;RUBEN VIERA;BAHMAN;41,19%;78,58%
13/09/2025;166056010000000;;16:59:04;RECRIA FEMEA 08/08/2025;;12;MAIZ HUMIDO;1280,000000000;RUBEN VIERA;BAHMAN;35,03%;63,93%
13/09/2025;166056010000000;;17:01:12;RECRIA FEMEA 08/08/2025;;12;FARELO DE SOJA;128,308680000;RUBEN VIERA;BAHMAN;35,03%;63,93%
13/09/2025;166056010000000;;17:01:12;RECRIA FEMEA 08/08/2025;;12;UREIA PECUARIA;21,687360000;RUBEN VIERA;BAHMAN;35,03%;63,93%
13/09/2025;166056010000000;;17:01:12;RECRIA FEMEA 08/08/2025;;12;NUCLEO CONFINAMIENTO;16,265520000;RUBEN VIERA;BAHMAN;35,03%;63,93%
13/09/2025;166055520000000;;15:31:29;CRECIMIENTO SORGO.19/08/2025;;10;Sorgo, silagem;4401,000000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
13/09/2025;166055810000000;;16:04:40;TERMINACION SORGO-19/08/2025;;11;Sorgo, grão úmido silagem;1393,000000000;RUBEN VIERA;BAHMAN;41,19%;78,58%
13/09/2025;166055810000000;;16:08:57;TERMINACION SORGO-19/08/2025;;11;MAIZ HUMIDO;1541,000000000;RUBEN VIERA;BAHMAN;41,19%;78,58%
13/09/2025;166055810000000;;16:12:31;TERMINACION SORGO-19/08/2025;;11;FARELO DE SOJA;262,280604000;RUBEN VIERA;BAHMAN;41,19%;78,58%
13/09/2025;166055810000000;;16:12:31;TERMINACION SORGO-19/08/2025;;11;UREIA PECUARIA;36,749892000;RUBEN VIERA;BAHMAN;41,19%;78,58%
13/09/2025;166055810000000;;16:12:31;TERMINACION SORGO-19/08/2025;;11;NUCLEO CONFINAMIENTO;29,077068000;RUBEN VIERA;BAHMAN;41,19%;78,58%
